Timestamp,URL,Type,Matched Text,Keyword
2026-01-03 20:29:47,https://www.espn.com,Headline,NFL,nfl
2026-01-03 20:29:47,https://www.espn.com,Headline,NBA,nba
2026-01-03 20:29:47,https://www.espn.com,Headline,NFL: Quiniela de ESPN para la Semana 18 de la temporada 2025,nfl
2026-01-03 20:29:47,https://www.espn.com,Headline,NFL,nfl
2026-01-03 20:29:47,https://www.espn.com,Headline,NBA,nba
2026-01-03 20:29:47,https://www.espn.com,Headline,"NBA en 2026: Por qué LeBron, Giannis acaparan las primeras planas",nba
2026-01-03 20:29:47,https://www.espn.com,Headline,NFL,nfl
2026-01-03 20:29:47,https://www.espn.com,Sub-headline,🏈 Más de la NFL,nfl
2026-01-03 20:29:47,https://www.espn.com,Sub-headline,🏈 Más de la NFL,nfl
2026-01-03 20:29:47,https://www.espn.com,Sub-headline,"Clippers llegan con racha de seis victorias consecutivas, la más larga activa en la NBA, todas por 10 o más puntos.",nba
2026-01-03 20:29:47,https://www.espn.com,Sub-headline,Un vaticinio sobre los factores logísticos y de clima que podrían influir en un eventual duelo de octavos de final del Mundial.,nfl
2026-01-03 20:29:47,https://www.espn.com,Description,"Clippers llegan con racha de seis victorias consecutivas, la más larga activa en la NBA, todas por 10 o más puntos.",nba
2026-01-03 20:29:47,https://www.espn.com,Description,¡Toronto superó a Atlanta y firmó su primera victoria de 2026 en la NBA!,nba
2026-01-03 20:29:47,https://www.espn.com,Description,Un vaticinio sobre los factores logísticos y de clima que podrían influir en un eventual duelo de octavos de final del Mundial.,nfl
2026-01-03 20:29:47,https://www.espn.com,Description,Un vaticinio sobre los factores logísticos y de clima que podrían influir en un eventual duelo de octavos de final del Mundial.,nfl
2026-01-03 20:40:50,ESPN,Headline,NFL,NFL
2026-01-03 20:40:50,ESPN,Headline,NBA,NBA
2026-01-03 20:40:50,ESPN,Headline,NFL: Quiniela de ESPN para la Semana 18 de la temporada 2025,NFL
2026-01-03 20:40:50,ESPN,Subhead,"Clippers llegan con racha de seis victorias consecutivas, la más larga activa en la NBA, todas por 10 o más puntos.",NBA
